,Unnamed: 0,Product  Name,Rating,Number of rates,Price,Img
0,0,Bush Somerset Collection Bookcase,"Xếp hạng: 4,5",356 đánh giá,"179,13 US$",Bush Somerset Collection Bookcase.png
1,1,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Xếp hạng: 4,6",6 đánh giá,"476,44 US$","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back.png"
2,2,Self-Adhesive Address Labels for Typewriters by Universal,"Xếp hạng: 4,5",52 đánh giá,"8,33 €",Self-Adhesive Address Labels for Typewriters by Universal.png
4,4,Eldon Fold 'N Roll Cart System,"Xếp hạng: 3,7",347 đánh giá,"46,96 US$",Eldon Fold 'N Roll Cart System.png
5,5,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Sản phẩm,22.160 đánh giá,"16,99 US$","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood.png"
7,7,Mitel 5320 IP Phone VoIP phone,"Xếp hạng: 4,3",7 đánh giá,"34,99 US$",Mitel 5320 IP Phone VoIP phone.png
8,8,DXL Angle-View Binders with Locking Rings by Samsill,"Xếp hạng: 4,5",5.077 đánh giá,"19,99 US$",DXL Angle-View Binders with Locking Rings by Samsill.png
9,9,Belkin F5C206VTEL 6 Outlet Surge,"Xếp hạng: 4,7",7.786 đánh giá,"17,94 US$",Belkin F5C206VTEL 6 Outlet Surge.png
11,11,Konftel 250 Conference phone - Charcoal black,"Xếp hạng: 3,6",6 đánh giá,"389,86 US$",Konftel 250 Conference phone - Charcoal black.png
12,12,Xerox 1967,"Xếp hạng: 3,8",690 đánh giá,"999,00 US$",Xerox 1967.png
13,13,Fellowes PB200 Plastic Comb Binding Machine,"Xếp hạng: 4,7",985 đánh giá,"7,83 US$",Fellowes PB200 Plastic Comb Binding Machine.png
14,14,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Xếp hạng: 4,6",882 đánh giá,"6,90 US$","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter.png"
15,15,Storex DuraTech Recycled Plastic Frosted Binders,"Xếp hạng: 2,8",3 đánh giá,"38,99 US$",Storex DuraTech Recycled Plastic Frosted Binders.png
18,18,Newell 341,Xếp hạng: 5,1 đánh giá,"341,10 US$",Newell 341.png
19,19,Cisco SPA 501G IP Phone,"Xếp hạng: 2,5",23 đánh giá,"77,70 CA$",Cisco SPA 501G IP Phone.png
21,21,Newell 318,"Xếp hạng: 4,4",5 đánh giá,"17,99 US$",Newell 318.png
23,23,"Global Deluxe Stacking Chair, Gray","Xếp hạng: 4,5",99 đánh giá,"299,99 US$","Global Deluxe Stacking Chair, Gray.png"
24,24,Wilson Jones Active Use Binders,Xếp hạng: 4,36 đánh giá,"9,17 US$",Wilson Jones Active Use Binders.png
26,26,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Xếp hạng: 4,4",11.023 đánh giá,"153,60 US$","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish.png"
27,27,Avery Recycled Flexi-View Covers for Binding Systems,"Xếp hạng: 4,3",29 đánh giá,"60,99 US$",Avery Recycled Flexi-View Covers for Binding Systems.png
29,29,Poly String Tie Envelopes,"Xếp hạng: 4,6",1.140 đánh giá,"7,28 US$",Poly String Tie Envelopes.png
32,32,Lumber Crayons,Xếp hạng: 5,2 đánh giá,"17,20 US$",Lumber Crayons.png
34,34,GE 30524EE4,"Xếp hạng: 4,1",211 đánh giá,"209,00 US$",GE 30524EE4.png
35,35,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","Xếp hạng: 4,4",2.587 đánh giá,"28,48 US$","Electrix Architect's Clamp-On Swing Arm Lamp, Black.png"
37,37,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Xếp hạng: 5,9 đánh giá,"39,99 US$","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors.png"
38,38,"Global Fabric Manager's Chair, Dark Gray","Xếp hạng: 3,4",3 đánh giá,"120,29 US$","Global Fabric Manager's Chair, Dark Gray.png"
39,39,Plantronics HL10 Handset Lifter,"Xếp hạng: 4,5",1.302 đánh giá,"40,78 US$",Plantronics HL10 Handset Lifter.png
41,41,"Eldon Base for stackable storage shelf, platinum",Sản phẩm,215.159 đánh giá,"30,10 US$","Eldon Base for stackable storage shelf, platinum.png"
42,42,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Xếp hạng: 4,6",678 đánh giá,"61,23 US$","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers.png"
44,44,Wilson Jones Leather-Like Binders with DublLock Round Rings,Xếp hạng: 4,36 đánh giá,"9,17 US$",Wilson Jones Leather-Like Binders with DublLock Round Rings.png
49,49,Avery 485,Xếp hạng: 5,1 đánh giá,"26,99 US$",Avery 485.png
50,50,Longer-Life Soft White Bulbs,"Xếp hạng: 4,5",1.381 đánh giá,"10,99 US$",Longer-Life Soft White Bulbs.png
51,51,"Global Leather Task Chair, Black",Xếp hạng: 2,1 đánh giá,"342,52 US$","Global Leather Task Chair, Black.png"
52,52,Advantus Push Pins,"Xếp hạng: 4,6",1.467 đánh giá,"9,80 US$",Advantus Push Pins.png
