Product  Name,Rating,Number of rates,Item Price,Currency
Bush Somerset Collection Bookcase,4.5,356,179.13,US$
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4.6,6,476.44,US$
Self-Adhesive Address Labels for Typewriters by Universal,4.5,52,8.33,€
Eldon Fold 'N Roll Cart System,3.7,347,46.96,US$
Mitel 5320 IP Phone VoIP phone,4.3,7,34.99,US$
DXL Angle-View Binders with Locking Rings by Samsill,4.5,5077,19.99,US$
Belkin F5C206VTEL 6 Outlet Surge,4.7,7786,17.94,US$
Konftel 250 Conference phone - Charcoal black,3.6,6,389.86,US$
Xerox 1967,3.8,690,999.00,US$
Fellowes PB200 Plastic Comb Binding Machine,4.7,985,7.83,US$
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4.6,882,6.90,US$
Storex DuraTech Recycled Plastic Frosted Binders,2.8,3,38.99,US$
Newell 341,5.0,1,341.10,US$
Cisco SPA 501G IP Phone,2.5,23,77.70,CA$
Newell 318,4.4,5,17.99,US$
"Global Deluxe Stacking Chair, Gray",4.5,99,299.99,US$
Wilson Jones Active Use Binders,4.0,36,9.17,US$
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4.4,11023,153.60,US$
Avery Recycled Flexi-View Covers for Binding Systems,4.3,29,60.99,US$
Poly String Tie Envelopes,4.6,1140,7.28,US$
Lumber Crayons,5.0,2,17.20,US$
GE 30524EE4,4.1,211,209.00,US$
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",4.4,2587,28.48,US$
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",5.0,9,39.99,US$
"Global Fabric Manager's Chair, Dark Gray",3.4,3,120.29,US$
Plantronics HL10 Handset Lifter,4.5,1302,40.78,US$
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4.6,678,61.23,US$
Wilson Jones Leather-Like Binders with DublLock Round Rings,4.0,36,9.17,US$
Avery 485,5.0,1,26.99,US$
Longer-Life Soft White Bulbs,4.5,1381,10.99,US$
"Global Leather Task Chair, Black",2.0,1,342.52,US$
Advantus Push Pins,4.6,1467,9.80,US$
AT&T CL83451 4-Handset Telephone,3.8,59,159.99,US$
Xerox 232,3.6,12,20.95,US$
Novimex Turbo Task Chair,4.3,29328,89.34,US$
"Array Parchment Paper, Assorted Colors",4.8,1887,14.27,US$
Plastic Binding Combs,4.7,794,10.58,US$
Prang Dustless Chalk Sticks,4.1,728,4.01,US$
Xerox 1943,3.5,277,549.99,US$
Luxo Economy Swing Arm Lamp,3.8,507,61.66,US$
"Global Value Mid-Back Manager's Chair, Gray",4.4,83,199.99,US$
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",4.7,627,8.49,US$
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",4.6,18,12.97,US$
Avery Binding System Hidden Tab Executive Style Index Sets,4.8,1205,6.18,US$
High-Back Leather Manager's Chair,4.3,3686,179.99,US$
Economy Binders,4.4,879,18.37,US$
Avery Heavy-Duty EZD  Binder With Locking Rings,4.0,1,40.80,US$
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.8,10156,4.99,US$
"Sortfiler Multipurpose Personal File Organizer, Black",3.5,5,27.83,US$
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,4.7,328,25.98,US$
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,4.3,1258,49.99,US$
Xerox 1995,1.0,1,83.18,US$
Ibico Standard Transparent Covers,3.7,24,43.70,US$
Flexible Leather- Look Classic Collection Ring Binder,4.7,1382,14.74,US$
Trimflex Flexible Post Binders,4.6,637,6.99,US$
Avery Personal Creations Heavyweight Cards,5.0,5,16.00,US$
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,4.7,47914,9.95,US$
Avery Hidden Tab Dividers for Binding Systems,4.8,2265,8.76,US$
Logitech K350 2.4Ghz Wireless Keyboard,4.6,26423,37.99,US$
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3.6,40,166.81,US$
Speck Products Candyshell Flip Case,4.4,1663,17.99,US$
Newell Chalk Holder,4.6,13,29.90,US$
Logitech Gaming G510s - Keyboard,4.3,536,349.75,US$
Magnifier Swing Arm Lamp,4.4,33,79.69,US$
"Hunt PowerHouse Electric Pencil Sharpener, Blue",4.6,485,26.95,US$
"OIC Colored Binder Clips, Assorted Sizes",4.6,595,6.70,US$
Xerox 1921,4.1,357,777.30,US$
Hon Racetrack Conference Tables,3.3,12,744.69,US$
Artistic Insta-Plaque,4.1,199,12.55,€
Globe Weis Peel & Seel First Class Envelopes,4.1,14,61.08,US$
Global Deluxe High-Back Manager's Chair,4.4,85,227.69,US$
Bevis 44 x 96 Conference Tables,4.3,44,618.90,US$
"Avery Durable Slant Ring Binders, No Labels",4.7,10769,16.62,US$
"Trav-L-File Heavy-Duty Shuttle II, Black",4.3,198,49.07,US$
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,4.8,15577,27.49,US$
Xerox 1916,3.1,6,1156.94,US$
Staples,4.7,40544,9.97,US$
Xerox 195,3.2,5,75.80,£
Xerox 1880,4.1,357,777.30,US$
Ideal Clamps,4.5,7,32.92,US$
GBC Wire Binding Strips,3.9,13,77.21,US$
Fiskars Softgrip Scissors,4.8,17623,6.48,US$
Newell 343,4.9,28,43.78,US$
Convenience Packs of Business Envelopes,4.7,3544,24.67,US$
Plantronics Cordless Phone Headset with In-line Volume - M214C,3.7,44,54.40,US$
Anker Astro 15000mAh USB Portable Charger,4.1,24,9.99,£
GBC Prestige Therm-A-Bind Covers,3.0,9,36.01,£
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,4.7,847,32.00,US$
Jabra BIZ 2300 Duo QD Duo Corded Headset,4.4,69,77.61,US$
Southworth 25% Cotton Antique Laid Paper & Envelopes,4.6,770,28.06,US$
Xerox 1883,3.5,277,549.99,US$
Newell 311,3.9,10,229.99,US$
Avery 519,4.8,946,13.83,US$
Avaya 5420 Digital phone,3.7,13,54.88,US$
Xerox 1920,3.8,82,699.00,US$
Lenovo 17-Key USB Numeric Keypad,4.7,15,29.99,US$
Staple envelope,3.7,4,21.16,US$
BIC Brite Liner Highlighters,4.8,30960,2.19,US$
Lexmark MX611dhe Monochrome Laser Printer,2.6,2,397.80,US$
Space Solutions HD Industrial Steel Shelving.,4.6,215205,60.21,US$
SAFCO Arco Folding Chair,4.4,338,209.24,US$
Sanford Liquid Accent Highlighters,4.5,86,8.40,US$
Kensington 7 Outlet MasterPiece Power Center,5.0,2,29.48,US$
"Global Value Steno Chair, Gray",4.4,1175,51.20,US$
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,4.8,6416,13.99,US$
Avery 51,4.8,18669,27.44,US$
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",5.0,10,8.50,US$
"Tenex File Box, Personal Filing Tote with Lid, Black",4.4,10729,23.48,US$
AT&T TR1909W,4.0,121,32.07,US$
Nokia Lumia 521 (T-Mobile),3.9,3339,84.99,US$
Avery Poly Binder Pockets,4.8,6,7.67,US$
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,4.7,115088,9.45,US$
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",4.3,6809,40.77,US$
Xerox 205,4.2,855,763.57,US$
4009 Highlighters by Sanford,5.0,1,11.98,US$
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",4.7,3460,5.55,US$
Southworth 25% Cotton Linen-Finish Paper & Envelopes,4.7,409,27.29,US$
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,3.3,30,71.16,US$
